2022-12-07 12:00:31,004 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:00:29')'
2022-12-07 12:00:31,322 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 21:00:29')
2022-12-07 12:00:44,241 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:00:29')'
2022-12-07 12:00:44,589 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 21:00:29')
2022-12-07 12:00:44,765 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 21:00:29')'
2022-12-07 12:40:19,150 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 21:40:29')'
2022-12-07 12:40:19,331 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:40:29')'
2022-12-07 12:40:19,676 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 21:40:29')
2022-12-07 12:40:31,656 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:40:29')'
2022-12-07 12:40:31,825 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 21:40:29')'
2022-12-07 12:40:32,180 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 21:40:29')
2022-12-07 13:20:52,730 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 22:20:29')'
2022-12-07 13:20:53,113 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 22:20:29')
2022-12-07 13:20:53,324 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 22:20:29')'
2022-12-07 13:21:04,660 | UposService | INFO | succeed to do 'GetefficiencyData('2022-12-16')'
2022-12-07 13:21:26,884 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
2022-12-07 13:21:50,840 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-07')'
2022-12-07 13:23:35,592 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 22:20:29')'
2022-12-07 13:23:35,912 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 22:20:29')
2022-12-07 13:23:36,073 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 22:20:29')'
2022-12-07 13:55:01,546 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-07')'
