2022-12-08 07:25:53,028 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:25:29')
2022-12-08 07:25:53,205 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 16:25:29')'
2022-12-08 07:25:53,385 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 16:25:29')'
2022-12-08 07:35:31,059 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:35:29')'
2022-12-08 07:35:31,316 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 16:35:29')'
2022-12-08 07:35:31,601 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 16:35:29')'
2022-12-08 07:35:31,961 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:35:29')
2022-12-08 07:36:02,088 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:35:29')
2022-12-08 07:36:02,404 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:35:29')'
2022-12-08 07:36:02,660 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 16:35:29')'
2022-12-08 07:36:02,843 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 16:35:29')'
2022-12-08 07:40:34,293 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:40:29')'
2022-12-08 07:40:34,519 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 16:40:29')'
2022-12-08 07:40:34,713 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 16:40:29')'
2022-12-08 07:40:35,060 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:40:29')
2022-12-08 08:06:46,864 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:05:29')'
2022-12-08 08:06:47,195 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:05:29')
2022-12-08 08:06:47,373 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 17:05:29')'
2022-12-08 08:06:47,565 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 17:05:29')'
2022-12-08 08:18:27,857 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:15:29')'
2022-12-08 08:18:28,223 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:15:29')
2022-12-08 08:18:28,387 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 17:15:29')'
2022-12-08 08:18:28,567 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 17:15:29')'
2022-12-08 08:19:59,982 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:15:29')'
2022-12-08 08:20:00,158 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 17:15:29')'
2022-12-08 08:20:00,495 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:15:29')
2022-12-08 08:20:00,693 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 17:15:29')'
2022-12-08 08:20:08,834 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:20:29')'
2022-12-08 08:20:09,012 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 17:20:29')'
2022-12-08 08:20:09,217 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 17:20:29')'
2022-12-08 08:20:09,541 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:20:29')
2022-12-08 08:22:56,784 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 17:20:29')
2022-12-08 08:22:56,956 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:20:29')'
2022-12-08 08:22:57,122 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 17:20:29')'
2022-12-08 08:22:57,322 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 17:20:29')'
2022-12-08 08:24:03,756 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 17:20:29')'
2022-12-08 08:24:03,966 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 17:20:29')'
